insular, insular, +
 island, island, +
 peninsula, peninsula, +
 islet, islet, +
 marine, marine, +
 maritime, maritime, +
 moist, moist, +
 ledge, ledge, +
 oasis, oasis, +
 tide, tide, +
 ebb, ebb, +
 continent, continent, +
 terrestrial, terrestrial, +
 outskirt, outskirt, +
 region, region, +
 endemic, endemic, +
 cosmopolitan, cosmopolitan, +
 subterrane, subterrane, +
 subterranean, subterranean, +
 cavern, cavern, +
 flaw, flaw, +
 cleft, cleft, +
 crevice, crevice, +
 gap, gap, +
 zone, zone, +
 equator, equator, +
 longitude, longitude, +
 altitude, altitude, +
 latitude, latitude, +
 meridian, meridian, +
 subsidiary, subsidiary, +
 Antarctic, Antarctic, +
 Antarctica, Antarctica, +
 Arctic, Arctic, +
 coastland, coastland, +
 hemisphere, hemisphere, +
 contour, contour, +
 geography, geography, +
 horizon, horizon, +
 lowland, lowland, +
 plain, plain, +
 strait, strait, +
 channel, channel, +
 valley, valley, +
 volcano, volcano, +
 plateau, plateau, +
 basin, basin, +
 navigation, navigation, +
 ranges, ranges, +
 salinity, salinity, +
 sediment, sediment, +
 elevation, elevation, +
 formation, formation, +
 geothermy, geothermy, +
 terrain, terrain, +
 topography, topography, +
 tropical, tropical, +
 tropics, tropics, +
 temperate, temperate, +
 vein, vein, +
 pit, pit, +
 borehole, borehole, +
 pit, pit, +
 quartz, quartz, +
 marble, marble, +
 gem, gem, +
 fieldstone, fieldstone, +
 emerald, emerald, +
 wiikite, wiikite, +
 granite, granite, +
 lead, lead, +
 limestone, limestone, +
 lava, lava, +
 ruby, ruby, +
 bonanza, bonanza, +
 mineral, mineral, +
 ore, ore, +
 vein, vein, +
 sediment, sediment, +
 fossil, fossil, +
 petrify, petrify, +
 geology, geology, +
 aluminum, aluminum, +
 core, core, +
 crater, crater, +
 diamond, diamond, +
 glacial, glacial, +
 glacier, glacier, +
 iceberg, iceberg, +
 plate, plate, +
 tremor, tremor, +
 earthquake, earthquake, +
 seism, seism, +
 seismic, seismic, +
 seismology, seismology, +
 magnitude, magnitude, +
 cataclysm, cataclysm, +
 stratum, stratum, +
 mantle, mantle, +
 lithogenous, lithogenous, +
 lithosphere, lithosphere, +
 layer, layer, +
 crust, crust, +
 fault, fault, +
 magma, magma, +
 squirt, squirt, +
 erupt, erupt, +
 outburst, outburst, +
 eruption, eruption, +
 volcanic, volcanic, +
 gregarious, gregarious, +
 swarm, swarm, +
 flock, flock, +
 herd, herd, +
 mammal, mammal, +
 carnivore, carnivore, +
 carnivorous, carnivorous, +
 appetite, appetite, +
 herbivorous, herbivorous, +
 omnivorous, omnivorous, +
 predator, predator, +
 predatory, predatory, +
 prey, prey, +
 poikilotherm, poikilotherm, +
 rodent, rodent, +
 scavenger, scavenger, +
 microbe, microbe, +
 reptile, reptile, +
 homotherm, homotherm, +
 primate, primate, +
 primates, primates, +
 mollusk, mollusk, +
 coelenterate, coelenterate, +
 vertebrate, vertebrate, +
 invertebrate, invertebrate, +
 finch, finch, +
 bird, bird, +
 fowl, fowl, +
 monster, monster, +
 hordes, hordes, +
 insect, insect, +
 worm, worm, +
 beast, beast, +
 aquatic, aquatic, +
 amphibian, amphibian, +
 migrate, migrate, +
 graze, graze, +
 gasp, gasp, +
 peck, peck, +
 trot, trot, +
 dormant, dormant, +
 offspring, offspring, +
 spawn, spawn, +
 pregnant, pregnant, +
 hatch, hatch, +
 breed, breed, +
 domesticate, domesticate, +
 fertilize, fertilize, +
 regeneration, regeneration, +
 reproduce, reproduce, +
 squeak, squeak, +
 chirp, chirp, +
 hibernate, hibernate, +
 camouflage, camouflage, +
 extinction, extinction, +
 monogamous, monogamous, +
 polyandrous, polyandrous, +
 nest, nest, +
 niche, niche, +
 pest, pest, +
 habitat, habitat, +
 rhinoceros, rhinoceros, +
 chimpanzee, chimpanzee, +
 baboon, baboon, +
 gorilla, gorilla, +
 lizard, lizard, +
 moth, moth, +
 canary, canary, +
 caterpillar, caterpillar, +
 dinosaur, dinosaur, +
 chameleon, chameleon, +
 larva, larva, +
 bat, bat, +
 family, family, +
 class, class, +
 suborder, suborder, +
 order, order, +
 genus, genus, +
 antenna, antenna, +
 tentacle, tentacle, +
 brain, brain, +
 spleen, spleen, +
 hide, hide, +
 spine, spine, +
 spineless, spineless, +
 toe, toe, +
 bill, bill, +
 beak, beak, +
 fuzzy, fuzzy, +
 head, head, +
