⊙ 词汇	♠释义	例句	=► 词根词缀
⊙ Chapter-1 自然地理	♠		=►
⊙ 单词	♠解释		=►
⊙ atmosphere	♠n. 大气层, 大气圈; 气氛		=►
⊙ hydrosphere	♠n. 水圈; 大气中的水气;		=►
⊙ lithosphere	♠n. 岩石圈		=► litho-,石头，sphere,圈，层。
⊙ oxygen	♠n. 氧气		=►
⊙ oxide	♠n. 氧化物		=►
⊙ carbon dioxide	♠n. 二氧化碳		=►
⊙ hydrogen	♠n. 氢气		=►
⊙ core	♠n. 中心, 核心; 地核		=►
⊙ crust	♠n. 地壳; 外壳		=►
⊙ mantle	♠n. 地幔; 斗篷, 披风 v. 覆盖		=►
⊙ longitude	♠n. 经度(竖的)		=►
⊙ latitude	♠n. 纬度(横的)		=►
⊙ horizon	♠n. 地平线; [~s]眼界, 见识		=►
⊙ altitude	♠n. 高度, 海拔		=►
⊙ disaster	♠n. 灾难		=►
⊙ mishap	♠n. 小灾难		=► mis-,坏的，错的，不好的，hap,机会，运气，词源同happy.
⊙ catastrophic	♠adj. 灾难性的		=►
⊙ calamity	♠"(n.) an event that causes great damage to people's lives, property, etc.灾难；灾祸
⊙ "	♠"He described drugs as the greatest calamity of the age.
⊙ 他形容毒品是这个时代最大的灾难。"	♠"来自calamus, 芦苇。指不结实，豆腐渣。
来自拉丁语calamus(""reed, cane 茎；藤条"")."
⊙ endanger	♠v. 使遭受危险, 危及		=►
⊙ jeopardise	♠v. 危害, 危及		=► 来自jeu,赌博，玩乐，词源同joke,parti,分开，均等，词源同par,part.引申词义危险，风险，危害。比较dicey,hazard.
⊙ destructive	♠adj. 破坏性的, 有害的		=►
⊙ El Nino	♠n. 厄尔尼诺现象 (赤道附近近东太平洋水域大范围海水反常增温、鱼群大量死亡的现象)		=►
⊙ greenhouse	♠n. 温室, 暖房		=►
⊙ phenomenon	♠n. 现象		=►
⊙ pebble	♠n. 鹅卵石		=►
⊙ magnet	♠n. 磁铁, 吸铁石		=►
⊙ ore	♠n. 矿石; 矿		=►
⊙ mineral	♠n. 矿物, 矿物质; 矿产		=►
⊙ marble	♠n. 大理石; (玩具)弹球		=►
⊙ quartz	♠n. 石英		=►
⊙ granite	♠n. 花岗岩		=► 来自grain, 颗粒。因这种岩石颗粒状的纹理而得名。
⊙ gust	♠n. 一阵狂风; (感情的)迸发		=►
⊙ breeze	♠n. 微风, 和风		=►
⊙ monsoon	♠"n. 季风; 雨季

1.a period of heavy rain in summer in S Asia; the rain that falls during this period （南亚地区的）雨季，雨季的降雨
⊙ 2.a wind in S Asia that blows from the south-west in summer, bringing rain, and the north-east in winter 季风，季节风（盛行于南亚地区，夏季刮西南风，带来雨水，冬季刮东北风）"	♠	=►
⊙ gale	♠n. 大风		=►
⊙ hurricane	♠n. 飓风; 暴风		=►
⊙ tornado	♠n. 龙卷风		=► 词源同 thunder,Thor. 拼写和词义可能受到拉丁语 tornare 影响，来自 tornare,扭曲，转动，词源同 turn.引申词义龙 卷风，旋风。
⊙ typhoon	♠n. 台风		=►
⊙ volcano	♠n. 火山		=►
⊙ erupt	♠v. 爆发, 喷发; (斑疹等)突然出现		=►
⊙ magma	♠n. 岩浆		=► 来自希腊语magma,油膏，软膏，来自PIEmag,揉，捏，词源同make,massage.引申词义岩浆，因其流动如软膏而得名。
⊙ thermodynamic	♠adj. 热力的; 热力学的		=►
⊙ smog	♠n. 烟雾, 雾霾; （通常指城市中汽车、工厂等排出的）烟雾，雾霾		=►
⊙ fume	♠"n. ~s烟, 气体;刺鼻（或有害）的气，烟
⊙ v. 冒烟, 发怒"	♠	=►
⊙ mist	♠n. 薄雾; 水汽; 使视线模糊的东西		=►
⊙ tsunami	♠n. 海啸		=► tsunami（津波）
⊙ drought	♠n. 干旱, 旱灾		=►
⊙ flooding	♠n. 洪水泛滥		=►
⊙ torrent	♠n. 激流, 洪流		=►
⊙ earthquake	♠n. 地震		=►
⊙ seismic	♠adj. 地震的, 地震引起的；影响深远的，重大的	a seismic (a.) shift in the political process政治进程中的剧变	=► From Ancient Greek σεισμός ‎(seismós, “shaking; earthquake”).
⊙ avalanche	♠n. 雪崩		=► avaler, 向下，同valance, 挂布。-anche, 同后缀ance.
⊙ terrain	♠n. 地形		=►
⊙ landscape	♠n. 风景, 地貌 v. 对…进行景观美化		=►
⊙ continent	♠n. 大陆; 洲		=►
⊙ cave	♠n. 洞穴, 山洞		=►
⊙ cliff	♠n. 悬崖, 峭壁		=►
⊙ glacier	♠n. 冰川, 冰河		=►
⊙ swamp	♠n. 沼泽, 湿地		=►
⊙ delta	♠n. 三角洲		=►
⊙ plain	♠n. 平原 adj. 简朴的, 明白的		=►
⊙ plateau	♠"n. 高原.
⊙ v.~ (out)（在一段时间的发展之后）趋于平稳，进入停滞期"	♠"Unemployment has at last plateaued (v.) out. 失业情况终于稳定了下来。
⊙ "	♠
⊙ oasis	♠n. 绿洲; 宜人之地		=►
⊙ globe	♠n. 球体; 地球仪; [the ~]地球		=►
⊙ hemisphere	♠n. 半球		=►
⊙ equator	♠n. 赤道		=► 来自equal, 平等的。用做地理名词。
⊙ arctic	♠adj. 极冷的; [A~]北极的 n. [the A~]北极地区, 北极	TV pictures showed the arctic (a.)conditions. 电视画面显示了严寒的环境。	=► arctic = arct（大熊星座）+ic（形容词后缀）→正对大熊星座的→北极的 词源解析：arct←希腊语arktos（熊）
